title,model_family,generation_number,is_pro,storage_gb_numeric,condition,price,wasPrice,price_discount_pct,available,sold,was_lot
"Apple iPhone 13 Fully Unlocked - All Colors - 128GB - 6.1""",iPhone 13,13.0,False,128.0,Used,264.0,379.99,30.52,0.0,20.0,False
"Apple iPhone 13 - At&t - 128GB - 6.1"" -Very Good",iPhone 13,13.0,False,128.0,Very Good - Refurbished,320.0,615.0,47.97,0.0,3.0,False
"apple iPhone 14 Pro MAX 6.7"" Verizon AT&T T-Mobile GSM Unlocked Phone 5G crak",iPhone 14 Pro Max,14.0,True,128.0,For Parts Or Not Working,354.99,,,0.0,2.0,False
New in Sealed Apple iPhone 13 MINI A2481 128/256GB Fully Unlocked Fast shipping⚡,iPhone 13 Mini,13.0,False,256.0,New,323.99,,,2.0,1.0,False
New Sealed Apple iPhone 13 MINI A2481 128/256/512GB Fully Unlocked 2 YR WARRANTY,iPhone 13 Mini,13.0,False,512.0,New,321.01,402.51,20.25,2.0,47.0,False
✅New in box Apple iPhone 13 MINI A2481 128/256/512GB Unlocked 5.4''Free Shipping,iPhone 13 Mini,13.0,False,512.0,New,321.01,,,2.0,3.0,False
New sealed Apple iPhone 13 MINI A2481 128/256/512GB Unlocked 5.4''12MPAll colors,iPhone 13 Mini,13.0,False,512.0,New,321.01,,,2.0,3.0,False
New sealed Apple iPhone 13 MINI A2481 128/256GB Unlocked 5.4'' All colors+memory,iPhone 13 Mini,13.0,False,256.0,New,321.01,,,2.0,2.0,False
New Sealed Apple iPhone 13 MINI 5G A2481 128GB/256GB Factory Unlocked GSM CDMA,iPhone 13 Mini,13.0,False,128.0,New,323.99,,,2.0,11.0,False
New Apple iPhone 13 Mini / iphone 12Mini 256GB 128GB Unlocked All Carriers Lot,iPhone 13 Mini,13.0,False,128.0,New,335.99,,,5.0,32.0,False
New 2026 Apple - iPhone 17e A3575 USA eSIM Unlocked,iPhone 17,17.0,False,128.0,New,699.99,,,0.0,14.0,False
New Apple iPhone 13 PRO MAX/13 MINI 128GB 256GB A2176 A2484 US Factory Unlocked,iPhone 13 Pro Max,13.0,True,128.0,New,322.99,,,3.0,7.0,False
